Food,Serving,Serving in grams (or # servings),Calories per serving,Notes,,Calories per serving,,,,,,,,,,,
Steak,100g,100,271,,,0.00,,,,,,,,,,,
Steamed rice roll,136g,136,161,,,0.00,,,,,,,,,,,
Strawberry jam (cheap),100g,100,278,,,0.00,,,,,,,,,,,
Sugar,1 tsp,1,15,,,0.00,,,,,,,,,,,
Suman,1 piece,1,63,,,0.00,,,,,,,,,,,
Sweet and sour pork,100g,100,270,,,0.00,,,,,,,,,,,
Sweet potato chips (kamote chips),28g,28,148,,,0.00,,,,,,,,,,,
Taco (soft chicken no cheese),1,1,130,,,0.00,,,,,,,,,,,
Tamago,76g,76,103,,,0.00,,,,,,,,,,,
Thit kho,4 oz,112,227,,,0.00,,,,,,,,,,,
Tofu sauteed,1 cup,217,162,,,0.00,,,,,,,,,,,
Tomato,100g,100,18,,,0.00,,,,,,,,,,,
Tomato sauce,100g,100,29,,,0.00,,,,,,,,,,,
Tomato sauteed,0.5 cup,149,27,,,0.00,,,,,,,,,,,
Tonkatsu,199g,199,498,,,0.00,,,,,,,,,,,
Tonkatsu sauce,1 tbsp,1,20,,,0.00,,,,,,,,,,,
Trail Mix,100g,100,462,,,0.00,,,,,,,,,,,
Tuna,56g (3 per can),56,100,,,0.00,,,,,,,,,,,
Tuna curry,56g (3 per can),56,84,,,0.00,,,,,,,,,,,
Tuna salad,"2 small cans, 2 tbsp mayo",1,788,,,0.00,,,,,,,,,,,
Tupig,13 pcs,13,686,,,0.00,,,,,,,,,,,
Various dimsum,52g,52,120,,,0.00,Used dumplings calories,,,,,,,,,,
Veega meatballs,4 pieces,4,140,,,0.00,,,,,,,,,,,
Vermicceli soup,170g,170,120,,,0.00,,,,,,,,,,,
Vienna sausage,1 pc,1,37,,,0.00,,,,,,,,,,,
White beans boiled,100g,100,140,,,0.00,,,,,,,,,,,
White bread,100g,100,265,,,0.00,,,,,,,,,,,
White cheddar,100g,100,409,,,0.00,,,,,,,,,,,
Whole wheat bread gardenia,2 slices,2,170,,,0.00,,,,,,,,,,,
Whole wheat roll, 36g,36,96,,,0.00,,,,,,,,,,,
Yema spread,15g,15,50,,,0.00,,,,,,,,,,,
Zenzai,1 cup,150.5,336,,,0.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
